City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Soyo,AO,2020-07-09 04:01:21,-6.13,12.37,71.82,86,0,7.11
151,Teya,RU,2020-07-09 04:01:22,60.38,92.63,64.49,47,34,10.33
152,Nuuk,GL,2020-07-09 04:01:22,64.18,-51.72,44.6,93,100,19.46
153,Paamiut,GL,2020-07-09 04:01:22,61.99,-49.67,44.91,79,100,20.27
154,Bimbo,CF,2020-07-09 04:01:22,4.26,18.42,77.0,94,100,2.35
155,Sikasso,ML,2020-07-09 04:01:22,10.92,-7.0,74.37,90,91,4.74
156,General Pico,AR,2020-07-09 04:01:23,-35.66,-63.76,39.45,68,0,7.2
157,Geraldton,AU,2020-07-09 04:01:23,-28.77,114.6,64.4,52,0,10.29
158,Bahia Blanca,AR,2020-07-09 03:57:55,-38.72,-62.27,42.13,63,0,12.97
159,Birao,CF,2020-07-09 04:01:23,10.28,22.79,73.49,88,99,3.62
160,Laguna,US,2020-07-09 03:58:38,38.42,-121.42,84.2,32,1,6.93
161,Vaini,TO,2020-07-09 04:01:24,-21.2,-175.2,75.2,78,75,8.05
162,Recco,IT,2020-07-09 04:01:24,44.36,9.14,69.8,64,0,1.12
163,Clyde River,CA,2020-07-09 04:01:24,70.47,-68.59,33.8,100,90,8.05
164,Sistranda,NO,2020-07-09 04:01:24,63.73,8.83,50.0,87,75,14.99
165,Port Elizabeth,ZA,2020-07-09 04:01:25,-33.92,25.57,62.6,48,33,8.05
166,Puerto Gaitan,CO,2020-07-09 04:01:25,4.31,-72.08,75.4,91,32,5.23
167,Fairbanks,US,2020-07-09 03:59:34,64.84,-147.72,68.0,56,1,9.17
168,Lasa,IT,2020-07-09 04:01:14,46.62,10.7,57.0,76,5,4.7
169,Huntington,US,2020-07-09 03:58:16,38.42,-82.45,75.2,94,1,2.46
170,Kapit,MY,2020-07-09 04:01:26,2.02,112.93,89.67,62,98,2.01
171,Mar Del Plata,AR,2020-07-09 04:01:26,-38.0,-57.56,44.01,93,90,11.45
172,Chuy,UY,2020-07-09 04:01:26,-33.7,-53.46,45.88,91,88,11.95
173,Saldanha,ZA,2020-07-09 04:01:27,-33.01,17.94,57.2,76,100,18.34
174,Port-Cartier,CA,2020-07-09 04:01:27,50.03,-66.87,60.01,100,90,6.93
175,Bethel,US,2020-07-09 04:01:27,41.37,-73.41,71.6,94,20,5.12
176,Ribeira Grande,PT,2020-07-09 04:01:27,38.52,-28.7,68.2,77,15,8.08
177,Tuktoyaktuk,CA,2020-07-09 04:01:27,69.45,-133.04,37.4,93,90,8.05
178,Port-Gentil,GA,2020-07-09 04:01:11,-0.72,8.78,74.14,84,25,9.15
179,Akyab,MM,2020-07-09 04:01:28,20.15,92.9,83.82,80,100,11.68
180,Viedma,AR,2020-07-09 04:01:29,-40.81,-63.0,41.59,67,0,12.95
181,Hami,CN,2020-07-09 04:01:30,42.8,93.45,90.66,12,0,3.8
182,Zhangjiakou,CN,2020-07-09 04:01:30,40.81,114.88,68.85,66,100,8.16
183,Neuquen,AR,2020-07-09 03:56:57,-38.95,-68.06,41.0,63,100,3.36
184,Saint Anthony,US,2020-07-09 04:01:31,45.02,-93.22,87.01,62,1,10.29
185,Fort Nelson,CA,2020-07-09 04:00:18,58.81,-122.7,59.0,87,75,3.36
186,Kearney,US,2020-07-09 04:00:55,40.7,-99.08,82.4,61,1,17.22
187,Vardo,NO,2020-07-09 04:01:32,70.37,31.11,51.8,100,75,2.24
188,Hualmay,PE,2020-07-09 04:01:32,-11.1,-77.61,60.1,85,30,7.38
189,Farah,AF,2020-07-09 04:01:32,32.5,62.5,81.25,16,0,6.38
190,Saskylakh,RU,2020-07-09 04:01:33,71.92,114.08,64.63,46,5,10.8
191,Sao Miguel Do Araguaia,BR,2020-07-09 04:00:16,-13.28,-50.16,69.01,46,0,1.7
192,Cayenne,GF,2020-07-09 04:00:06,4.93,-52.33,75.2,100,89,2.98
193,Kuytun,RU,2020-07-09 04:01:33,54.34,101.5,73.72,46,63,8.88
194,Tres Marias,MX,2020-07-09 04:01:33,19.05,-99.24,64.4,59,90,3.36
195,Konya,TR,2020-07-09 04:01:34,38.17,32.5,66.2,63,11,12.75
196,Boyuibe,BO,2020-07-09 04:01:34,-20.42,-63.28,44.55,81,0,3.02
197,Nome,US,2020-07-09 04:01:34,64.5,-165.41,54.0,81,75,18.34
198,Sorland,NO,2020-07-09 04:01:34,67.67,12.69,51.8,81,75,8.05
199,Barpeta,IN,2020-07-09 04:01:34,26.32,91.0,87.8,100,75,6.64
200,Egvekinot,RU,2020-07-09 04:01:35,66.32,-179.17,55.96,70,90,2.59
201,Opuwo,NA,2020-07-09 04:01:15,-18.06,13.84,46.4,55,0,4.18
202,Hovd,MN,2020-07-09 04:01:35,48.01,91.64,55.56,78,100,2.77
203,Luderitz,NA,2020-07-09 04:01:35,-26.65,15.16,51.8,100,0,12.75
204,Douglas,US,2020-07-09 03:59:41,41.3,-96.17,82.99,74,1,6.93
205,Minsk,BY,2020-07-09 04:00:00,53.9,27.57,51.8,93,17,4.47
206,Barranca,PE,2020-07-09 04:01:36,-10.75,-77.77,58.75,89,47,4.41
207,Saryg-Sep,RU,2020-07-09 04:01:36,51.5,95.6,72.0,42,0,5.86
208,Cap Malheureux,MU,2020-07-09 04:01:36,-19.98,57.61,66.0,83,9,4.0
209,Flinders,AU,2020-07-09 04:01:36,-34.58,150.86,66.99,59,26,8.99
210,Namatanai,PG,2020-07-09 04:01:36,-3.67,152.43,85.41,68,35,10.89
211,Jiuquan,CN,2020-07-09 04:01:37,39.74,98.52,82.36,17,9,3.24
212,Kitui,KE,2020-07-09 04:01:37,-1.37,38.01,61.77,97,75,2.3
213,Caravelas,BR,2020-07-09 04:01:37,-17.71,-39.25,68.56,85,0,2.84
214,Bandarbeyla,SO,2020-07-09 04:01:37,9.49,50.81,84.74,53,58,28.99
215,Avarua,CK,2020-07-09 04:01:37,-21.21,-159.78,75.2,69,85,18.34
216,El Tigre,VE,2020-07-09 04:01:38,8.89,-64.25,75.18,86,12,11.23
217,Khani,GE,2020-07-09 04:01:38,41.96,42.96,71.6,94,90,2.24
218,Pafos,CY,2020-07-09 04:01:38,34.77,32.42,71.6,78,2,6.93
219,Port Hedland,AU,2020-07-09 04:01:38,-20.32,118.57,84.2,10,0,11.41
220,Khaniotis,GR,2020-07-09 04:01:38,40.0,23.58,71.01,90,0,1.01
221,Celestun,MX,2020-07-09 04:01:39,20.87,-90.4,82.92,77,1,14.03
222,San-Pedro,CI,2020-07-09 04:01:39,4.75,-6.64,74.55,89,89,6.76
223,Roxana,CR,2020-07-09 04:01:39,10.28,-83.75,71.6,78,99,6.93
224,Santa Maria,BR,2020-07-09 03:57:38,-29.68,-53.81,50.0,87,75,9.17
225,Plettenberg Bay,ZA,2020-07-09 04:01:40,-34.05,23.37,74.03,28,53,21.25
226,Srednekolymsk,RU,2020-07-09 04:01:40,67.45,153.68,59.52,85,100,5.59
227,Maxixe,MZ,2020-07-09 04:01:40,-23.86,35.35,65.97,80,26,5.23
228,Flagstaff,US,2020-07-09 04:01:40,35.2,-111.65,75.99,19,1,10.29
229,Mirnyy,RU,2020-07-09 04:01:41,62.54,113.96,59.0,100,75,6.71
230,Pokhara,NP,2020-07-09 04:01:41,28.23,83.98,77.85,77,99,1.25
231,Padang,ID,2020-07-09 04:01:41,-0.95,100.35,76.64,84,100,4.18
232,Mangrol,IN,2020-07-09 04:01:41,21.12,70.12,85.69,76,33,19.6
233,Marang,MY,2020-07-09 04:01:41,5.21,103.21,84.2,79,20,3.36
234,Sidi Ali,DZ,2020-07-09 04:01:42,36.1,0.42,72.32,78,0,5.1
235,Jackson,US,2020-07-09 04:01:42,42.42,-122.83,75.2,36,1,8.05
236,Sinnamary,GF,2020-07-09 04:01:42,5.38,-52.95,77.59,85,95,4.05
237,Kijini,TZ,2020-07-09 04:01:42,-5.85,39.32,75.88,87,15,11.86
238,Kuyanovo,RU,2020-07-09 04:01:42,55.8,54.54,76.59,81,0,5.28
239,Atar,MR,2020-07-09 04:01:28,20.52,-13.05,93.76,11,72,9.44
