City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
249,Kamennomostskoye,RU,43.74,43.05,71.6,68,75,6.71,broken clouds,0.0,0
250,Waddan,LY,29.16,16.14,74.71,53,0,9.22,clear sky,0.0,0
251,Kotri,PK,25.37,68.31,85.53,66,100,24.92,overcast clouds,0.0,0
252,Marzuq,YE,14.4,46.47,84.25,28,100,1.36,overcast clouds,0.0,0
253,Kavieng,PG,-2.57,150.8,84.97,69,96,7.27,overcast clouds,0.0,0
254,Tura,IN,25.52,90.22,74.84,98,100,5.75,light rain,0.2,0
255,Stornoway,GB,58.21,-6.39,54.0,76,100,11.41,overcast clouds,0.0,0
256,Ust-Ilimsk,RU,58.0,102.66,65.32,51,0,3.87,clear sky,0.0,0
257,Southbridge,US,42.08,-72.03,78.01,91,87,1.01,overcast clouds,0.0,0
258,Berlevag,NO,70.86,29.09,46.6,89,78,3.4,broken clouds,0.0,0
259,Grand Gaube,MU,-20.01,57.66,71.01,66,28,8.01,light rain,0.15,0
260,Castro,BR,-24.79,-50.01,59.49,76,0,7.36,clear sky,0.0,0
261,Hofn,IS,64.25,-15.21,52.83,85,100,3.78,overcast clouds,0.0,0
262,Saint-Augustin,CA,51.23,-58.65,61.45,87,1,18.81,clear sky,0.0,0
263,Sangar,RU,63.92,127.47,73.04,69,81,16.04,light rain,0.44,0
264,Omboue,GA,-1.57,9.26,73.2,90,84,7.67,broken clouds,0.0,0
265,Broken Hill,AU,-31.95,141.43,49.69,67,19,10.22,few clouds,0.0,0
266,Labuhan,ID,-6.88,112.21,79.63,77,100,9.15,overcast clouds,0.0,0
267,Arinos,BR,-15.92,-46.11,64.18,49,0,0.31,clear sky,0.0,0
268,Katsuura,JP,35.13,140.3,84.2,74,75,13.87,broken clouds,0.0,0
269,Songea,TZ,-10.68,35.65,55.9,91,0,1.28,clear sky,0.0,0
270,Kulhudhuffushi,MV,6.62,73.07,81.27,78,100,7.76,overcast clouds,0.0,0
271,Bac Lieu,VN,9.29,105.72,82.92,79,100,9.19,overcast clouds,0.0,0
272,Port Moresby,PG,-9.44,147.18,81.39,72,3,2.64,clear sky,0.0,0
273,Bud,US,39.45,-86.18,71.01,88,90,4.7,overcast clouds,0.0,0
274,Khash,IR,28.22,61.22,67.05,36,0,5.14,clear sky,0.0,0
275,Achacachi,BO,-16.05,-68.68,41.76,63,0,2.55,clear sky,0.0,0
276,Vestmannaeyjar,IS,63.44,-20.27,51.6,89,100,7.11,overcast clouds,0.0,0
277,Taltal,CL,-25.4,-70.48,56.37,74,6,3.0,clear sky,0.0,0
278,Westport,US,41.14,-73.36,75.99,91,0,10.47,light rain,0.36,0
279,Padang,ID,-0.95,100.35,80.01,75,100,2.59,overcast clouds,0.0,0
280,Santa Cruz,BO,-17.8,-63.17,73.4,83,75,12.75,broken clouds,0.0,0
281,Road Town,VG,18.42,-64.62,82.99,86,59,8.01,light rain,0.17,0
282,Lopsmarka,NO,67.31,14.45,51.01,87,75,2.24,broken clouds,0.0,0
283,Beringovskiy,RU,63.05,179.32,49.71,83,92,4.16,overcast clouds,0.0,0
284,Lvov,UA,49.84,24.02,53.6,93,75,11.18,light intensity shower rain,0.0,0
